study_id,first_name,middle_name,last_name,suffix,height,member,birth_date
S-0072,Linda,Pamela,Washington,PhD,174.4,1,1949-01-04
S-0073,Scott,Joshua,Hall,Jr.,162.7,1,1944-12-04
S-0074,James,Thomas,Simon,DDS,181.4,0,1940-09-17
S-0075,Brian,Fernando,Johnson,DDS,184.9,1,1945-01-12
S-0076,Holly,Mason,Lopez,MD,183.6,0,1940-05-20
S-0077,Connie,Thomas,Floyd,MD,171.7,1,1943-09-08
S-0078,Melissa,Brianna,Alvarez,II,179.0,0,1943-06-20
S-0079,Michael,Keith,Reynolds,MD,158.5,1,1946-04-01
S-0080,Alexandra,Joseph,Skinner,III,175.0,1,1948-07-17
S-0081,Leah,Ashley,Gomez,PhD,175.5,0,1941-10-31
S-0082,Deanna,Mitchell,Byrd,Jr.,177.2,1,1949-01-23
S-0083,Patricia,Amanda,Ellis,MD,174.2,0,1945-04-22
S-0084,Luis,Andrew,Huff,IV,172.2,1,1944-03-04
S-0085,Scott,Charles,Lloyd,MD,165.8,1,1948-01-30
S-0086,Samantha,Zachary,Perez,MD,171.4,1,1943-09-29
S-0087,Scott,James,Decker,II,166.6,1,1946-08-25
S-0088,Debra,Ann,Morales,II,175.0,1,1940-06-08
S-0089,Jerry,Emma,Chavez,DDS,179.7,1,1947-07-16
S-0090,Jill,Kevin,Armstrong,DVM,187.9,1,1948-06-19
S-0091,Cody,Lisa,Crawford,DDS,171.0,1,1948-06-21
S-0092,Catherine,Edward,Coleman,II,176.2,0,1945-09-30
S-0093,Mikayla,Kyle,Allen,Jr.,177.1,0,1944-10-04
S-0094,Amanda,Richard,Osborn,MD,160.8,0,1940-02-03
S-0095,Crystal,Sharon,Barker,DDS,173.4,1,1942-09-19
S-0096,Jose,Kristen,Love,MD,183.6,0,1945-03-29
S-0097,Katherine,Ronald,Gonzalez,DDS,170.2,1,1946-07-07
S-0098,Julia,Calvin,Ferguson,Jr.,174.5,0,1949-11-14
S-0099,Paul,Katelyn,Williams,MD,181.2,1,1945-02-09
S-0100,Julie,Robert,Stephens,DDS,167.7,1,1942-09-26
S-0101,Katrina,Joseph,Wilson,MD,173.5,0,1942-10-22
S-0102,Amanda,Angela,Chavez,MD,173.8,0,1947-07-24
S-0103,Nicholas,David,Molina,PhD,190.1,0,1940-07-26
S-0104,Diane,Kristopher,Hall,DVM,167.2,0,1949-01-02
S-0105,Julie,Trevor,Martinez,DDS,167.4,0,1941-09-01
S-0106,Maria,Juan,Thompson,Jr.,173.4,0,1944-03-28
S-0107,Michael,Ronnie,Barnett,DDS,163.7,0,1948-12-18
S-0108,Mark,Angel,Fernandez,Jr.,177.2,1,1945-11-04
S-0109,Michael,Sherry,Hall,III,178.3,0,1946-04-20
S-0110,Rebecca,Peter,Farmer,MD,181.1,0,1946-06-09
S-0111,Andrew,James,Thomas,PhD,171.6,0,1941-12-11
S-0112,Alexander,Mikayla,Martinez,MD,175.4,0,1943-12-10
S-0113,Abigail,Jonathan,Powell,PhD,180.6,1,1945-03-20
S-0114,Stephen,Jeffrey,Lawrence,Jr.,163.9,0,1949-07-17
S-0115,Joseph,Katie,Norris,Jr.,179.5,0,1940-12-30
S-0116,John,Sandra,Harmon,MD,175.1,1,1948-05-27
S-0117,Mandy,Jeffery,Hines,PhD,172.1,1,1945-11-15
S-0118,Jeremiah,Stephanie,Schmidt,Jr.,171.0,1,1948-12-27
S-0119,Karen,Michael,Smith,DVM,158.7,0,1941-06-06
S-0120,Christopher,Jessica,Reyes,Jr.,179.3,1,1940-03-16
S-0121,Elizabeth,Amanda,Sutton,MD,171.0,1,1941-02-22
S-0122,Heather,Cheryl,Moran,Jr.,178.5,1,1948-09-05
S-0123,Vickie,Kyle,Velasquez,DDS,182.7,1,1943-08-01
S-0124,Joshua,Brittany,Smith,Jr.,182.7,0,1946-06-13
S-0125,Keith,Danny,Jones,DDS,179.3,1,1944-08-19
S-0126,Aaron,Victoria,Hall,Jr.,172.6,0,1946-11-28
S-0127,Joshua,Angela,Green,DDS,178.5,1,1941-05-17
S-0128,John,Nicholas,Smith,DDS,180.2,0,1943-06-11
S-0129,Michaela,Ashley,Farrell,MD,169.0,0,1947-04-05
S-0130,Randall,James,Graham,PhD,181.6,0,1948-05-12
S-0131,John,Sharon,Archer,DDS,181.8,0,1940-09-20
S-0132,Diane,Amy,Wilson,MD,175.4,0,1945-08-14
S-0133,Kristina,Henry,Barnett,MD,172.7,0,1941-01-05
S-0134,Debra,Michael,Brown,DDS,160.9,0,1949-03-05
S-0135,Scott,Lisa,Booker,MD,180.0,1,1940-06-24
S-0136,Seth,Zachary,Powers,MD,179.1,1,1942-02-25
S-0137,Kayla,Lindsey,Ramos,DVM,172.2,1,1943-04-19
S-0138,Larry,Michael,Hall,MD,169.7,1,1946-12-19
S-0139,Jasmine,Brandi,Gallegos,MD,179.7,0,1949-06-18
S-0140,Alyssa,Jill,Martinez,PhD,179.2,0,1940-11-24
S-0141,Jimmy,Jasmine,Reyes,II,167.8,N,1943-07-10
S-0142,Mary,Phillip,Donovan,Jr.,168.6,0,1947-05-31
S-0143,Richard,Robert,Howe,MD,179.6,1,1942-10-16
S-0144,Emily,Robin,Fitzpatrick,II,172.8,0,1946-06-06
S-0145,Cory,Angela,Olson,DDS,176.5,0,1942-09-06
S-0146,Michelle,Rachel,Robinson,Jr.,158.7,1,1943-01-17
S-0147,Robert,Micheal,Hicks,DDS,170.6,1,1946-10-07
S-0148,Harry,Kenneth,Mooney,DDS,192.6,0,1947-12-14
S-0149,Melissa,Glenn,Simpson,Jr.,170.5,0,1949-07-17
S-0150,Jesus,Alexander,Clark,DDS,178.2,0,1943-11-28
S-0151,Michelle,Paula,Foster,IV,185.5,1,1941-02-12
S-0152,Elaine,Gordon,Smith,MD,168.7,0,1944-01-07
S-0153,Ryan,Amanda,Russell,MD,185.1,0,1945-08-31
S-0154,Tiffany,Kimberly,Saunders,Jr.,171.2,1,1949-06-30
S-0155,Joshua,Meghan,Jones,MD,165.7,1,1944-07-27
S-0156,Sherry,Alicia,Juarez,DDS,165.0,0,1943-10-11
S-0157,Ryan,Jamie,Lynch,MD,179.4,1,1945-01-14
S-0158,Natalie,Julie,Brown,MD,193.0,1,1944-05-16
S-0159,Daniel,Jesus,Moreno,II,172.0,1,1944-04-06
S-0160,Candice,John,Ray,Jr.,178.8,1,1947-02-28
S-0161,Robert,Benjamin,Glover,DDS,171.3,1,1948-11-17
S-0162,Morgan,Johnathan,Downs,DDS,164.4,0,1944-01-15
S-0163,Timothy,Margaret,Yang,DDS,167.7,1,1948-11-22
S-0164,Krista,Daniel,Miller,DDS,181.4,0,1940-05-09
S-0165,Angela,Emily,Adams,DDS,171.1,1,1948-09-11
S-0166,Benjamin,Daniel,Martin,DDS,184.6,0,1948-01-31
S-0167,Michael,Lori,Martinez,MD,179.7,1,1947-04-20
S-0168,Matthew,Ian,Martinez,DDS,169.7,0,1945-02-05
S-0169,Jared,Sarah,Lewis,MD,170.9,0,1946-09-28
S-0170,Teresa,Joseph,Parks,MD,165.7,1,1940-05-20
S-0171,Benjamin,Stephanie,Miller,PhD,176.8,0,1949-09-07
S-0172,Steven,Kristina,Watkins,PhD,175.3,1,1949-10-23
S-0173,Monica,Amy,Hughes,DDS,180.1,1,1942-08-15
S-0174,Kenneth,Jacob,Mann,DDS,175.4,0,1949-11-04
S-0175,Joseph,Julie,Mullins,Jr.,173.0,1,1944-12-13
S-0176,Lauren,Gary,Best,DDS,186.1,1,1949-01-24
S-0177,Julie,Tracy,Rivera,DDS,173.3,1,1945-11-19
S-0178,Arthur,Cynthia,Johnson,DDS,185.4,1,1941-10-12
S-0179,David,Curtis,Savage,Jr.,174.2,0,1943-06-19
S-0180,Samantha,Lynn,Mueller,MD,178.6,1,1943-07-28
S-0181,Wendy,Stacy,Rogers,Jr.,174.4,1,1944-03-02
S-0182,Scott,Christine,Chandler,Jr.,171.3,0,1946-02-22
S-0183,Cathy,Ian,Velazquez,III,183.9,0,1946-01-24
S-0184,Daniel,Noah,Burke,DDS,181.1,0,1949-08-06
S-0185,David,Matthew,Glover,Jr.,161.0,1,1949-04-12
S-0186,James,Cory,Hunt,PhD,171.7,1,1944-12-01
S-0187,Robert,Michaela,Martinez,DDS,195.2,0,1946-11-14
S-0188,Gregory,Brian,Foster,Jr.,174.3,0,1940-11-29
S-0189,Kimberly,Pamela,Daniel,II,177.1,0,1944-12-30
S-0190,Patrick,Wayne,Lester,DDS,173.7,0,1940-03-01
S-0191,Luke,Heather,Ashley,III,187.6,1,1947-04-29
S-0192,Michael,Joshua,Bennett,MD,188.4,0,1947-08-14
S-0193,Laurie,Shelby,Cobb,MD,180.7,1,1942-07-20
S-0194,Larry,Matthew,Townsend,Jr.,165.7,1,1943-02-05
S-0195,Brian,Terri,Roberts,PhD,173.0,1,1945-02-01
S-0196,Justin,Tracey,Potts,DVM,171.4,1,1946-06-01
S-0197,Alicia,Sara,Wagner,DDS,185.3,0,1942-04-20
S-0198,Michael,Stephen,Thomas,Jr.,173.2,0,1943-03-09
S-0199,Luis,Derrick,Krause,MD,192.5,0,1942-09-18
S-0200,Patrick,Richard,Garcia,MD,174.6,0,1946-10-18
S-0201,Erin,James,Hardy,MD,174.5,1,1940-06-20
S-0202,Vincent,Larry,Rogers,DDS,178.0,0,1947-07-23
S-0203,Wayne,Cody,Ayala,MD,173.5,1,1947-08-12
S-0204,Tyler,Larry,Perry,II,184.0,0,1942-05-08
S-0205,Steven,Sheila,Pugh,Jr.,164.8,1,1945-01-17
S-0206,Robert,Nicole,Morris,II,188.0,1,1949-02-27
S-0207,John,Carrie,Johnson,DDS,181.4,0,1943-05-18
S-0208,Michael,Riley,Rhodes,DVM,164.1,1,1946-09-26
S-0209,Dakota,Ronald,Chavez,MD,167.8,0,1949-07-11
S-0210,Brian,William,Turner,DVM,173.7,0,1942-06-07
S-0211,Adriana,Manuel,Williamson,DDS,165.4,0,1946-04-14
S-0212,David,Amy,Wade,Jr.,172.9,0,1946-09-09
S-0213,Edward,Tammy,Edwards,PhD,170.3,1,1947-05-18
S-0214,Edward,Donna,Hill,Jr.,169.9,1,1947-07-06
S-0215,Monique,Ricky,Lee,DDS,175.0,1,1944-02-07
S-0216,Steven,Juan,Davis,Jr.,177.8,1,1949-05-31
S-0217,Michael,Michael,Griffin,PhD,171.2,1,1940-03-11
S-0218,Linda,Rebecca,Patterson,PhD,185.2,0,1943-08-13
S-0219,Jessica,Robert,Cruz,DDS,163.0,0,1947-02-27
S-0220,Robert,Michelle,Johnson,DDS,175.8,0,1949-07-23
S-0221,James,Laura,Fernandez,MD,164.5,1,1943-08-28
S-0222,Tabitha,Martin,Harris,Jr.,176.7,0,1949-07-28
S-0223,Tyler,Barbara,Sawyer,Jr.,165.9,1,1948-06-11
S-0224,Krista,Robert,Collins,II,184.0,0,1948-08-08
S-0225,Cynthia,Rachel,Scott,PhD,170.9,1,1947-08-20
S-0226,Mitchell,Dennis,Bauer,DDS,163.4,1,1944-08-21
S-0227,Christopher,Samantha,Hull,III,181.7,0,1949-12-17
S-0228,Christopher,Carolyn,Bell,MD,170.4,1,1947-03-27
S-0229,Evan,Debra,Morse,II,173.0,1,1944-01-28
S-0230,Karen,Collin,Jackson,MD,164.6,1,1949-10-16
S-0231,Wesley,Brian,Salazar,DVM,174.6,0,1948-11-19
S-0232,Joe,Mark,Martinez,Jr.,166.7,1,1944-11-16
S-0233,Andrea,Amanda,Morris,MD,172.4,1,1942-05-30
S-0234,William,Rita,Johnston,PhD,171.4,0,1942-11-14
S-0235,Douglas,Toni,Ponce,Jr.,188.2,1,1941-03-28
S-0236,Manuel,Kevin,Davis,MD,173.9,1,1947-07-06
S-0237,Kenneth,Steven,Thomas,MD,163.6,0,1948-08-23
S-0238,Karen,Colleen,Morris,DDS,167.7,0,1945-07-03
S-0239,Christine,Barry,Dean,Jr.,183.6,1,1940-10-08
S-0240,Kevin,Ronald,Hughes,Jr.,185.7,0,1943-08-22
S-0241,Joseph,Wendy,Johnson,Jr.,182.2,1,1942-02-01
S-0242,Kelly,Jenny,Woodard,MD,168.8,0,1944-03-29
S-0243,Jack,Michelle,Conley,DVM,171.3,0,1942-04-28
S-0244,Cynthia,Lisa,Vargas,DVM,168.6,0,1944-03-04
S-0245,Peter,Daniel,Reid,Jr.,174.8,1,1943-06-07
S-0246,Teresa,April,Reed,DDS,167.7,1,1940-02-02
S-0247,Sharon,Brittany,Anderson,DVM,173.6,1,1943-05-19
S-0248,Alan,Brittany,Carr,MD,193.3,1,1947-01-27
S-0249,Heather,Nancy,Hicks,DDS,183.3,0,1949-10-03
S-0250,Joseph,Melissa,Hensley,DVM,171.4,0,1945-06-23
S-0251,Sarah,Kevin,Washington,DVM,169.6,1,1941-12-18
S-0252,Julie,Nathan,Lopez,Jr.,188.5,0,1949-02-22
S-0253,Heather,Sherri,Logan,DDS,165.5,1,1941-12-15
S-0254,Jason,Amy,Buck,DDS,176.1,1,1947-09-12
S-0255,Amy,Robert,Coleman,DVM,170.7,1,1944-12-21
S-0256,Danielle,Jonathan,Benton,II,178.2,0,1948-08-12
S-0257,Trevor,Dustin,Sullivan,MD,178.4,1,1943-03-06
S-0258,Patrick,Jessica,Knox,PhD,160.1,0,1942-07-30
S-0259,Kevin,Jessica,Thompson,MD,177.6,1,1945-07-15
S-0260,Jesse,Tracey,Hill,III,187.6,1,1946-03-08
S-0261,Sheri,Victoria,Gonzalez,DDS,174.8,1,1944-10-22
S-0262,Stephen,Alexander,Mathews,Jr.,174.1,0,1941-11-16
S-0263,Tiffany,Virginia,Thompson,MD,178.9,1,1946-06-28
S-0264,Jeffrey,Julian,Gill,DVM,176.9,1,1942-06-02
S-0265,Kelly,Steven,Shepherd,II,172.0,1,1943-12-22
S-0266,Jennifer,Donna,Jenkins,PhD,173.8,0,1940-02-11
S-0267,Renee,David,Walsh,MD,185.4,1,1942-08-15
S-0268,Jared,Michael,Johnson,MD,189.3,0,1946-04-14
S-0269,Nicole,Anna,Cook,MD,184.3,1,1943-07-13
S-0270,Travis,Kathryn,Perez,Jr.,181.9,0,1941-11-02
S-0271,Ashley,Patrick,Conway,PhD,178.5,0,1947-06-02
S-0272,Dennis,James,Duncan,Jr.,177.8,0,1949-05-04
S-0273,Brian,Edward,Knox,Jr.,180.0,1,1946-04-02
S-0274,Jacqueline,Anthony,Wright,Jr.,177.1,0,1944-02-20
S-0275,Mariah,Pamela,Valenzuela,II,185.8,1,1943-09-12
S-0276,Benjamin,Sean,Oliver,PhD,175.0,1,1942-11-25
S-0277,Stacy,Jorge,Murphy,MD,172.6,1,1940-08-23
S-0278,Nicholas,Debra,Reyes,DDS,173.5,0,1947-05-22
S-0279,Darlene,Megan,Smith,MD,161.3,1,1942-10-29
S-0280,Colin,Bradley,Frank,II,191.9,0,1947-04-09
S-0281,Ashley,Barry,Schmidt,MD,180.8,1,1944-12-09
S-0282,Bonnie,Cassandra,Lee,MD,163.5,1,1941-04-26
S-0283,Nicole,Maxwell,Moses,DVM,173.0,1,1942-01-18
S-0284,William,Mariah,Smith,Jr.,175.4,1,1946-12-09
S-0285,Catherine,Justin,Hebert,Jr.,171.9,0,1946-03-10
S-0286,Gloria,Amanda,Brown,DDS,177.0,0,1941-03-16
S-0287,Rhonda,Randall,Lucero,DDS,180.0,0,1941-01-22
S-0288,Ann,Ronnie,Maddox,DDS,163.2,0,1941-12-05
S-0289,Ernest,Ashley,Richards,II,170.6,1,1942-08-08
S-0290,Anna,Amanda,Turner,Jr.,171.2,1,1941-06-20
S-0291,Samuel,Kevin,Andrews,Jr.,172.8,0,1947-10-09
S-0292,Robert,Jeremiah,Nelson,MD,173.2,1,1941-06-08
S-0293,Leah,James,Hawkins,Jr.,176.4,1,1948-07-07
S-0294,Melissa,Matthew,Brewer,MD,178.2,0,1948-12-26
S-0295,Dustin,Sandra,Valdez,DVM,173.6,1,1947-09-27
S-0296,Randall,Howard,Barrera,DVM,165.5,0,1945-02-20
S-0297,Joshua,Heather,Washington,DDS,184.0,0,1944-01-22
S-0298,Christopher,Robert,Lowe,MD,168.6,0,1946-04-02
S-0299,Jane,Jason,Chavez,DVM,162.2,0,1940-11-02
S-0300,Scott,Tamara,Brennan,MD,173.8,1,1941-05-24
S-0301,Samuel,Lauren,Carpenter,MD,183.1,1,1941-07-08
S-0302,Daniel,Michael,Maldonado,MD,180.4,0,1949-03-16
S-0303,Johnny,Ronald,Johnson,II,163.0,0,1945-02-28
S-0304,Sarah,David,Schmidt,MD,188.8,0,1940-08-10
S-0305,Jeanette,Timothy,Perez,PhD,174.2,1,1943-03-09
S-0306,Greg,William,Russell,Jr.,182.7,1,1943-08-24
S-0307,Timothy,Donna,Clay,MD,172.0,1,1943-10-20
S-0308,Michael,Matthew,Jones,MD,169.8,0,1949-02-16
S-0309,TEST,,PATIENT,,177.6,0,1840-12-31
S-0310,William,Jodi,Burch,MD,179.8,1,1941-08-01
S-0311,Adam,Elizabeth,Thomas,MD,179.0,1,1947-06-22
S-0312,Shawn,Loretta,Ramirez,MD,173.9,0,1943-05-09
S-0313,Bryan,Phillip,Jones,Jr.,158.0,0,1941-07-09
S-0314,Jim,Jose,Gonzales,DDS,174.2,1,1945-08-13
S-0315,Sabrina,Bill,Perkins,DDS,178.4,1,1941-02-22
S-0316,Robert,Samuel,Rice,DVM,169.5,0,1945-02-09
S-0317,Lucas,Kimberly,Clark,DDS,173.1,0,1944-10-18
S-0318,Sheryl,Deanna,Lester,Jr.,190.9,0,1948-03-30
S-0319,Jaime,Audrey,Ashley,III,171.3,0,1948-09-30
S-0320,Anna,Megan,Dougherty,DDS,163.2,0,1941-09-30
S-0321,Kathleen,Jenna,Lucas,MD,172.5,0,1945-06-11
S-0322,Maurice,Gail,Campbell,DDS,177.5,1,1941-08-31
S-0323,Dennis,Alexis,Bates,MD,175.5,1,1949-01-12
S-0324,Kari,Erik,Young,DVM,178.1,0,1945-09-26
S-0325,Matthew,Michele,Collins,Jr.,160.4,0,1947-05-03
S-0326,Jill,Daniel,Myers,Jr.,169.2,1,1947-10-08
S-0327,Robert,Thomas,Humphrey,MD,175.9,0,1942-04-21
S-0328,Frank,Cindy,Carroll,DDS,182.2,1,1942-12-15
S-0329,Patrick,Dakota,Abbott,PhD,162.7,1,1949-08-07
S-0330,Richard,Linda,Lara,Jr.,164.5,0,1945-09-01
S-0331,Raven,Grant,Richard,PhD,178.2,1,1947-10-01
S-0332,Ryan,Melissa,Dodson,DDS,182.9,1,1947-02-22
S-0333,Crystal,Oscar,Rogers,DDS,168.8,0,1940-05-17
S-0334,Samuel,Crystal,Harris,DDS,181.2,1,1941-11-10
S-0335,Joel,Tiffany,Johnson,Jr.,170.7,0,1949-06-05
S-0336,Emma,Ronald,Edwards,Jr.,181.6,1,1946-09-26
S-0337,Brian,Anthony,Padilla,DDS,187.8,1,1942-02-17
S-0338,Michelle,Trevor,Davis,DDS,163.8,0,1941-01-25
S-0339,Jeffrey,Elizabeth,Gray,DDS,186.3,1,1949-06-03
S-0340,Leslie,Tracy,Walsh,Jr.,174.0,1,1943-11-05
S-0341,Amanda,Jonathan,Massey,II,180.4,0,1943-11-24
S-0342,Brian,Luis,Phillips,Jr.,177.2,1,1948-04-19
S-0343,Richard,Mary,Walters,MD,159.4,1,1946-07-03
S-0344,Robert,Christine,West,DDS,190.8,1,1949-08-05
S-0345,Brandon,Matthew,Brown,MD,174.3,0,1942-10-10
S-0346,Felicia,Robert,Mcconnell,PhD,184.5,0,1940-02-01
S-0347,Karen,Carolyn,Hull,II,171.5,0,1942-02-21
S-0348,Elizabeth,Jeremy,Ray,Jr.,169.7,0,1944-02-10
S-0349,Lauren,Heather,Mason,Jr.,175.0,1,1946-07-14
S-0350,Morgan,Kathryn,Rodriguez,DVM,182.0,1,1945-02-16
S-0351,Philip,Jessica,Fox,DDS,180.3,1,1946-10-27
S-0352,Adam,Brenda,Swanson,DDS,177.6,1,1947-11-06
S-0353,Scott,Rachel,Carter,DDS,178.7,1,1945-10-22
S-0354,Melissa,Craig,Hopkins,Jr.,174.9,0,1945-11-14
S-0355,Rita,Alicia,Cook,PhD,172.6,1,1944-03-27
S-0356,Bryan,Robin,Duffy,Jr.,175.3,1,1940-02-17
S-0357,Matthew,Paul,Harris,MD,169.2,1,1948-10-31
S-0358,Andrew,Kimberly,Obrien,MD,182.1,1,1942-12-19
S-0359,Melinda,Abigail,Myers,DDS,190.7,0,1946-03-17
S-0360,Kathy,Christopher,Smith,DVM,169.4,1,1940-10-11
S-0361,Keith,Lori,Hanna,MD,179.5,1,1940-05-27
S-0362,Joseph,Jonathan,Kerr,PhD,179.2,0,1945-03-15
S-0363,Raymond,Thomas,Travis,DDS,174.9,0,1943-04-14
S-0364,Joseph,Brittany,Carter,DDS,182.7,0,1942-12-23
S-0365,Jamie,Raven,Cole,MD,165.3,1,1945-05-12
S-0366,James,Travis,Vasquez,DVM,176.2,1,1948-07-05
S-0367,Carol,Emily,Oconnor,MD,172.1,1,1946-05-22
S-0368,Adam,Brandon,Owen,DDS,175.8,1,1945-02-01
S-0369,Karen,Debbie,Robinson,MD,179.3,1,1944-08-28
S-0370,Julia,Alan,Lewis,PhD,174.3,0,1947-04-10
S-0371,Tyler,Christian,Johnson,MD,174.4,1,1948-11-08
S-0372,Sheila,Ryan,Ruiz,DDS,175.7,1,1947-05-22
S-0373,Marc,Joseph,Harper,DDS,180.1,0,1949-11-30
S-0374,Joseph,Allison,Steele,DVM,159.4,0,1946-01-27
S-0375,Steven,Richard,Mitchell,MD,187.6,1,1948-12-08
S-0376,Brenda,Karen,Morris,IV,171.8,0,1945-06-09
S-0377,James,Katrina,Hawkins,II,175.6,1,1940-12-31
S-0378,Ian,Lisa,Sweeney,DVM,168.7,0,1940-09-05
S-0379,Donna,Matthew,Gillespie,II,170.6,0,1942-10-26
S-0380,Emma,Jennifer,Daniel,II,175.4,0,1943-12-06
S-0381,Barbara,Donna,Martinez,MD,171.9,0,1942-02-28
S-0382,Kathryn,Joseph,Huynh,Jr.,184.4,1,1946-05-08
S-0383,Elizabeth,Kayla,Graham,Jr.,170.0,1,1947-12-29
S-0384,Heather,Scott,Flores,Jr.,175.1,1,1940-09-20
S-0385,Samantha,Megan,Cardenas,Jr.,171.6,0,1941-05-25
S-0386,Lori,Deanna,Ryan,MD,173.7,0,1944-12-16
S-0387,Jeffrey,Patricia,Wright,PhD,162.8,1,1946-01-14
S-0388,Jeffrey,Alex,Meyer,MD,189.6,0,1946-09-10
S-0389,Thomas,Michelle,Villegas,III,180.7,0,1945-06-06
